position_cat_shift,goals_conceded,shots,shots_on_target,goals_counter,long_balls,passes,touches,crosses,through_balls,corners,att_obox_goal,bookings,position_cat_ls
0.0,2.0,39.0,10.0,-1.0,219.0,359.0,537.0,142.0,-28.0,67.0,7.0,-5.0,2.0
1.0,-8.0,11.0,34.0,2.0,195.0,2557.0,2181.0,32.0,-18.0,-16.0,-2.0,-10.0,2.0
0.0,-4.0,-2.0,-3.0,6.0,-195.0,672.0,253.0,-48.0,49.0,-19.0,-4.0,-9.0,1.0
1.0,9.0,-31.0,-4.0,-2.0,230.0,2384.0,4038.0,-116.0,-14.0,-42.0,5.0,-9.0,3.0
0.0,-3.0,149.0,58.0,5.0,-60.0,822.0,2704.0,-5.0,142.0,54.0,-5.0,-1.0,2.0
0.0,-5.0,-46.0,-6.0,2.0,106.0,352.0,326.0,119.0,16.0,27.0,4.0,-2.0,2.0
1.0,-12.0,20.0,-18.0,-8.0,-614.0,1445.0,-554.0,-47.0,-33.0,-15.0,-1.0,25.0,2.0
0.0,-4.0,192.0,73.0,4.0,13.0,3095.0,2728.0,81.0,151.0,47.0,11.0,-20.0,1.0
0.0,5.0,-78.0,-19.0,0.0,-121.0,-802.0,-1095.0,17.0,-160.0,0.0,-11.0,9.0,1.0
0.0,3.0,13.0,7.0,-1.0,178.0,700.0,816.0,32.0,-41.0,14.0,7.0,8.0,1.0
0.0,1.0,-3.0,-9.0,4.0,146.0,1346.0,1311.0,-97.0,-5.0,-6.0,-1.0,6.0,1.0
0.0,3.0,-55.0,-19.0,-4.0,145.0,-1619.0,-1256.0,71.0,-31.0,-20.0,-1.0,-18.0,1.0
0.0,-2.0,18.0,6.0,1.0,-85.0,2218.0,1967.0,-65.0,40.0,23.0,-7.0,14.0,1.0
0.0,-12.0,32.0,49.0,-2.0,-222.0,5535.0,4767.0,-110.0,-6.0,4.0,6.0,-14.0,1.0
0.0,-5.0,-2.0,4.0,-2.0,20.0,-1301.0,934.0,18.0,-63.0,3.0,5.0,-8.0,1.0
0.0,2.0,19.0,-30.0,5.0,-225.0,1994.0,3457.0,103.0,201.0,-4.0,-4.0,13.0,1.0
0.0,4.0,-20.0,-9.0,-6.0,13.0,-98.0,-1109.0,117.0,-48.0,40.0,-3.0,-13.0,1.0
